atr_multiplier,strategy,year,n_trades,win_rate,avg_R,total_pnl_usd
1.0,S2a,2018,121,0.48760330578512395,0.033955170646613506,20.648785714285708
1.0,S2a,2019,206,0.46116504854368934,0.004607806905866851,5.874714285714077
1.0,S2a,2020,201,0.5422885572139303,0.007428982761421202,-9.526071428571214
1.0,S2a,2021,230,0.5521739130434783,0.003231571104083889,14.56857142857126
1.0,S2a,2022,246,0.5203252032520326,-0.007008878234332738,-10.906785714285434
1.0,S2a,2023,228,0.49122807017543857,-0.03300952444090831,-36.61464285714226
1.0,S2b,2018,131,0.48091603053435117,0.023765960741336304,17.36092857142853
1.0,S2b,2019,220,0.4590909090909091,-0.006469016756190689,-0.39378571428571263
1.0,S2b,2020,223,0.5336322869955157,0.011303425076055975,1.6544285714287525
1.0,S2b,2021,256,0.546875,0.004277501325023159,18.71592857142832
1.0,S2b,2022,269,0.5241635687732342,0.0010610875385844629,2.6775000000002933
1.0,S2b,2023,256,0.49609375,-0.025805447910320363,-36.2832142857136
1.5,S2a,2018,121,0.48760330578512395,0.013891297356872436,14.238178571428364
1.5,S2a,2019,206,0.46601941747572817,0.001332850448514108,3.432571428571265
1.5,S2a,2020,201,0.5422885572139303,-0.0011882759324247012,-11.960749999999763
1.5,S2a,2021,230,0.5608695652173913,-0.006462620193700017,-0.7467142857142903
1.5,S2a,2022,246,0.5203252032520326,-0.02110631291045599,-52.57089285714267
1.5,S2a,2023,228,0.5,-0.022269603530398144,-32.867249999999615
1.5,S2b,2018,124,0.49193548387096775,0.014871979592790845,14.487285714285491
1.5,S2b,2019,210,0.4714285714285714,0.0039934512644978,5.231571428571243
1.5,S2b,2020,208,0.5384615384615384,-0.002046571388053994,-14.09999999999971
1.5,S2b,2021,238,0.5546218487394958,-0.009174508334982581,-6.331714285714213
1.5,S2b,2022,252,0.5277777777777778,-0.021559405547275024,-55.99946428571411
1.5,S2b,2023,235,0.502127659574468,-0.020212737020490767,-30.952249999999708
2.0,S2a,2018,121,0.48760330578512395,0.008972948847041832,14.592142857142676
2.0,S2a,2019,206,0.46601941747572817,-0.0005208126490888256,1.4229999999998029
2.0,S2a,2020,201,0.5472636815920398,0.001402437181608546,-7.8058571428568655
2.0,S2a,2021,230,0.5608695652173913,-0.0020310118004613796,5.420999999999992
2.0,S2a,2022,246,0.5203252032520326,-0.01816783255454391,-60.420428571428374
2.0,S2a,2023,228,0.5,-0.018776169579677822,-36.8402857142853
2.0,S2b,2018,122,0.48360655737704916,0.007859251107334195,13.822142857142694
2.0,S2b,2019,208,0.46634615384615385,0.00044888429596326175,2.221999999999781
2.0,S2b,2020,203,0.5467980295566502,0.0011634695847721193,-8.60585714285682
2.0,S2b,2021,231,0.5627705627705628,-0.00142566405297615,6.920999999999992
2.0,S2b,2022,246,0.5203252032520326,-0.01816783255454391,-60.420428571428374
2.0,S2b,2023,228,0.5,-0.018776169579677822,-36.8402857142853
2.5,S2a,2018,121,0.48760330578512395,0.005525466515650027,13.075178571428353
2.5,S2a,2019,206,0.46601941747572817,-0.0006064711824431962,1.4285357142855162
2.5,S2a,2020,201,0.5472636815920398,0.00089498071262281,-7.088285714285433
2.5,S2a,2021,230,0.5608695652173913,-0.002160049399626943,3.745999999999981
2.5,S2a,2022,246,0.5203252032520326,-0.014936173596279571,-62.41899999999981
2.5,S2a,2023,228,0.5,-0.01487935425180852,-36.55099999999959
2.5,S2b,2018,122,0.48360655737704916,0.0046480566235723095,12.305178571428371
2.5,S2b,2019,207,0.46859903381642515,-0.00011132188605431865,2.0785357142855503
2.5,S2b,2020,202,0.5495049504950495,0.0009431350396888954,-6.988285714285411
2.5,S2b,2021,230,0.5608695652173913,-0.002160049399626943,3.745999999999981
2.5,S2b,2022,246,0.5203252032520326,-0.014936173596279571,-62.41899999999981
2.5,S2b,2023,228,0.5,-0.01487935425180852,-36.55099999999959
3.0,S2a,2018,121,0.48760330578512395,0.006515742856439617,15.17999999999978
3.0,S2a,2019,206,0.46601941747572817,-0.00045500323811583564,1.5079999999997824
3.0,S2a,2020,201,0.5472636815920398,-8.337013583258217e-05,-8.97114285714261
3.0,S2a,2021,230,0.5608695652173913,-0.0018000411663557643,3.745999999999981
3.0,S2a,2022,246,0.5203252032520326,-0.012446811330232958,-62.41899999999981
3.0,S2a,2023,228,0.5,-0.012399461876507088,-36.55099999999959
3.0,S2b,2018,121,0.48760330578512395,0.006515742856439617,15.17999999999978
3.0,S2b,2019,206,0.46601941747572817,-0.00045500323811583564,1.5079999999997824
3.0,S2b,2020,202,0.5495049504950495,-3.9136641843427324e-05,-8.871142857142587
3.0,S2b,2021,230,0.5608695652173913,-0.0018000411663557643,3.745999999999981
3.0,S2b,2022,246,0.5203252032520326,-0.012446811330232958,-62.41899999999981
3.0,S2b,2023,228,0.5,-0.012399461876507088,-36.55099999999959
